Javier Hernández,West Ham United,English Premier League,1988-06-01,175.0,73.0,Mexico,22000000.0
Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,LaLiga,1987-02-19,177.0,76.0,Spain,20500000.0
Lars Bender,Bayer 04 Leverkusen,German Bundesliga,1989-04-27,185.0,81.0,Germany,20000000.0
Kévin Gameiro,Atlético Madrid,LaLiga,1987-05-09,173.0,70.0,France,21500000.0
Claudio Bravo,Manchester City,English Premier League,1983-04-13,184.0,80.0,Chile,9000000.0
Asmir Begović,Bournemouth,English Premier League,1987-06-20,199.0,83.0,Bosnia Herzegovina,14000000.0
Ronaldo Aparecido Rodrigues,FC Schalke 04,German Bundesliga,1982-09-10,198.0,91.0,Brazil,6500000.0
Daniel Sturridge,Liverpool,English Premier League,1989-09-01,180.0,76.0,England,23500000.0
Danny Rose,Tottenham Hotspur,English Premier League,1990-07-02,174.0,76.0,England,21000000.0
Carlos Vela,Real Sociedad,LaLiga,1989-03-01,177.0,77.0,Mexico,22500000.0
Emiliano Viviano,Sampdoria,Italian Serie A,1985-12-01,195.0,90.0,Italy,13500000.0
Gonzalo Castro,Borussia Dortmund,German Bundesliga,1987-06-11,172.0,74.0,Germany,20500000.0
Ashley Williams,Everton,English Premier League,1984-08-23,183.0,77.0,Wales,12500000.0
Leighton Baines,Everton,English Premier League,1984-12-11,170.0,74.0,England,12500000.0
Andrea Consigli,Sassuolo,Italian Serie A,1987-01-27,189.0,82.0,Italy,14000000.0
Raúl Albiol Tortajada,Napoli,Italian Serie A,1985-09-04,190.0,82.0,Spain,15000000.0
Joe Hart,West Ham United,English Premier League,1987-04-19,196.0,91.0,England,14000000.0
Mario Gómez,VfL Wolfsburg,German Bundesliga,1985-07-10,189.0,88.0,Germany,20000000.0
Juan Francisco Torres Belén,Atlético Madrid,LaLiga,1985-01-09,180.0,72.0,Spain,12500000.0
Raffael Caetano de Araújo,Borussia Mönchengladbach,German Bundesliga,1985-03-28,174.0,69.0,Brazil,17500000.0
Arda Turan,FC Barcelona,LaLiga,1987-01-30,175.0,76.0,Turkey,20500000.0
Fernando Luiz Rosa,Manchester City,English Premier League,1985-05-04,179.0,67.0,Brazil,12500000.0
Stephan Lichtsteiner,Juventus,Italian Serie A,1984-01-16,182.0,75.0,Switzerland,8500000.0
Rune Almenning Jarstein,Hertha BSC Berlin,German Bundesliga,1984-09-29,190.0,82.0,Norway,12500000.0
Marcus Rashford,Manchester United,English Premier League,1997-10-31,185.0,70.0,England,26500000.0
Gabriel Fernando de Jesus,Manchester City,English Premier League,1997-04-03,175.0,73.0,Brazil,31000000.0
Nélson Cabral Semedo,FC Barcelona,LaLiga,1993-11-16,177.0,67.0,Portugal,20500000.0
Gelson Dany Batalha Martins,Sporting CP,Portuguese Primeira Liga,1995-05-11,173.0,65.0,Portugal,25000000.0
Julian Weigl,Borussia Dortmund,German Bundesliga,1995-09-08,186.0,72.0,Germany,21000000.0
Davinson Sánchez,Tottenham Hotspur,English Premier League,1996-06-12,187.0,79.0,Colombia,21500000.0
Islam Slimani,Leicester City,English Premier League,1988-06-18,188.0,83.0,Algeria,18000000.0
Andrej Kramarić,TSG 1899 Hoffenheim,German Bundesliga,1991-06-19,177.0,73.0,Croatia,22000000.0
Marcelo Brozović,Inter,Italian Serie A,1992-11-16,181.0,68.0,Croatia,23000000.0
Iñaki Williams Arthuer,Athletic Club de Bilbao,LaLiga,1994-06-15,186.0,77.0,Spain,24500000.0
Daniel Garcia Carrillo,SD Eibar,LaLiga,1990-05-01,180.0,75.0,Spain,17000000.0
Andreas Christensen,Chelsea,English Premier League,1996-04-10,188.0,78.0,Denmark,24000000.0
Joshua Kimmich,FC Bayern Munich,German Bundesliga,1995-02-08,176.0,70.0,Germany,20500000.0
Armindo Tué Na Bangna,RB Leipzig,German Bundesliga,1994-10-24,173.0,70.0,Portugal,24000000.0
Domenico Berardi,Sassuolo,Italian Serie A,1994-08-01,183.0,72.0,Italy,24500000.0
Raphaël Guerreiro,Borussia Dortmund,German Bundesliga,1993-12-22,170.0,71.0,Portugal,24000000.0
