'André Filipe Claro de Jesus','Santa Clara','Primeira Liga','1991-03-31',183.0,75.0,'Portugal',3800000.0, '2018-01-01', '2020-01-01'
'Diego Fortunato dos Santos Queiroz','Aves','Primeira Liga','1984-01-14',185.0,80.0,'Brazil',1300000.0, '2018-01-01', '2020-01-01'
'Bruno Araújo dos Santos','Nacional','Primeira Liga','1993-02-07',183.0,79.0,'Brazil',3500000.0, '2018-01-01', '2020-01-01'
'Nuno Miguel Gomes dos Santos','Rio Ave','Primeira Liga','1995-02-13',179.0,73.0,'Portugal',4400000.0, '2018-01-01', '2020-01-01'
'Jorge Costa Pires','Portimonense','Primeira Liga','1981-04-01',176.0,73.0,'Portugal',1100000.0, '2018-01-01', '2020-01-01'
'Adriano Facchini','Aves','Primeira Liga','1983-03-12',187.0,78.0,'Brazil',1300000.0, '2018-01-01', '2020-01-01'
'Ricardo Jorge Oliveira Valente','Maritimo','Primeira Liga','1991-04-03',181.0,76.0,'Portugal',3700000.0, '2018-01-01', '2020-01-01'
'Luís Miguel Coimbra Aurélio','Feirense','Primeira Liga','1988-08-17',179.0,70.0,'Portugal',3100000.0, '2018-01-01', '2020-01-01'
'Gonçalo José Gonçalves Santos','Aves','Primeira Liga','1986-11-15',184.0,79.0,'Portugal',2300000.0, '2018-01-01', '2020-01-01'
'Domingos Sousa Menezes Duarte','Desportivo das Chaves','Primeira Liga','1995-03-03',190.0,78.0,'Portugal',3900000.0, '2018-01-01', '2020-01-01'
'Nuno Henrique Gonçalves Nogueira','Boavista','Primeira Liga','1986-10-19',186.0,75.0,'Portugal',2300000.0, '2018-01-01', '2020-01-01'
'Cláudio Pires de Morais Ramos','Tondela','Primeira Liga','1991-11-16',183.0,85.0,'Portugal',3000000.0, '2018-01-01', '2020-01-01'
'Filipe Miguel Neves Ferreira','Nacional','Primeira Liga','1990-09-09',178.0,72.0,'Portugal',3000000.0, '2018-01-01', '2020-01-01'
